County,Size
"Clark County, Illinois",501.42
"Clay County, Illinois",468.32
"Clinton County, Illinois",474.09
"Coles County, Illinois",508.29
"Cook County, Illinois",945.33
"Crawford County, Illinois",443.63
"Cumberland County, Illinois",346.02
"De Witt County, Illinois",397.51
"DeKalb County, Illinois",631.31
"Douglas County, Illinois",416.67
"DuPage County, Illinois",327.50
"Edgar County, Illinois",623.37
"Edwards County, Illinois",222.42
"Effingham County, Illinois",478.78
"Fayette County, Illinois",716.48
"Ford County, Illinois",485.62
"Franklin County, Illinois",408.89
"Fulton County, Illinois",865.60
"Gallatin County, Illinois",323.07
"Greene County, Illinois",543.02
"Grundy County, Illinois",418.04
"Hamilton County, Illinois",434.67
"Hancock County, Illinois",793.73
"Hardin County, Illinois",177.53
"Henderson County, Illinois",378.87
"Henry County, Illinois",822.99
"Iroquois County, Illinois","1,117.32"
"Jackson County, Illinois",584.08
"Jasper County, Illinois",494.51
"Jefferson County, Illinois",571.17
"Jersey County, Illinois",369.27
"Jo Daviess County, Illinois",601.09
"Johnson County, Illinois",343.92
"Kane County, Illinois",520.06
"Kankakee County, Illinois",676.56
"Kendall County, Illinois",320.34
"Knox County, Illinois",716.40
"Lake County, Illinois",443.67
"LaSalle County, Illinois","1,135.12"
"Lawrence County, Illinois",372.18
"Lee County, Illinois",724.90
"Livingston County, Illinois","1,044.29"
"Logan County, Illinois",618.06
"Macon County, Illinois",580.69
"Macoupin County, Illinois",862.91
"Madison County, Illinois",715.58
"Marion County, Illinois",572.36
"Marshall County, Illinois",386.79
"Mason County, Illinois",539.24
"Massac County, Illinois",237.22
"McDonough County, Illinois",589.41
"McHenry County, Illinois",603.17
"McLean County, Illinois","1,183.38"
"Menard County, Illinois",314.44
"Mercer County, Illinois",561.20
"Monroe County, Illinois",385.01
"Montgomery County, Illinois",703.69
"Morgan County, Illinois",568.79
"Moultrie County, Illinois",335.94
"Ogle County, Illinois",758.57
"Peoria County, Illinois",619.21
"Perry County, Illinois",441.76
"Piatt County, Illinois",439.20
"Pike County, Illinois",831.38
"Pope County, Illinois",368.77
